Datetime;Tanggal;Bulan;Tahun;Jam;Hari;Department;Tipe_Insiden;Jenis_Alat;Nomor_Alat;Lokasi;Penyebab;Akibat;Nama_Terlibat;Nama_Perusahaan;Status;Group;Shift;Nama_Korban;Nomor_Container;Deskripsi_Kejadian
05/01/19;5;January;2019;14;Saturday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;RTG 61 menabrak HT eksternal B 9057 BEH di blok K2.18. Itu menyebabkan rel RTG 61 rusak
09/01/19;9;January;2019;8;Wednesday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;RTG 60 menghantam HT eksternal B 9062 ZK di blok II.32. Hal ini menyebabkan kran oli pada gear box rusak, wheel guard motor gantry bengkok dan anti tabrakan bengkok
11/01/19;11;January;2019;20;Friday;Safety;Near Miss;QCC;< NOMOR ALAT >;Dermaga;Human Error;Container Damage;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Pemanent Employee;< GROUP >;Shift 3 (23:00 - 07:00);< NAMA KORBAN >;< NOMOR CONTAINER >;QCC 15. memindahkan wadah tidak dalam posisi yang tepat. Hal itu menyebabkan kontainer SEGU 2919272 bengkok dan sobek di bagian atas.
14/01/19;14;January;2019;19;Monday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 2 (15:30 - 23:00);< NAMA KORBAN >;< NOMOR CONTAINER >;HT eksternal B 9286 UEH menabrak RTG 18 di blok F3 / F4. Itu menyebabkan pelindung gantry Motor rusak
14/01/19;14;January;2019;23;Monday;Safety;Near Miss;QCC;< NOMOR ALAT >;Dermaga;Machine;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Pemanent Employee;< GROUP >;Shift 3 (23:00 - 07:00);< NAMA KORBAN >;< NOMOR CONTAINER >;QCC 05, operator ragu bahwa spreader masih mengunci di kontainer atau tidak. Dia mengangkat spreader tapi sayangnya satu sisi wadah masih terkunci.  Pengemudi HT internal bergegas menjalankan truk sementara spreader belum mengerek. Itu menyebabkan tali kawat rusak
16/01/19;16;January;2019;1;Wednesday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 3 (23:00 - 07:00);< NAMA KORBAN >;< NOMOR CONTAINER >;RTG 53 menghantam HT eksternal B 9083 CEH. Itu menyebabkan anti tabrakan bengkok
01/02/19;1;February;2019;11;Friday;Safety;First Aid / Injury;HT Internal;< NOMOR ALAT >;Container Yard;Human Error;Injured Person;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;HT internal 171/185 hit chassis HT internal 201/204 di blok U1 – U2. Hal itu menyebabkan sopir truk terluka di pelipis dan tangan kanan, kami membawanya ke rumah sakit terdekat (PMC).
04/02/19;4;February;2019;22;Monday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Container Damage;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 2 (15:30 - 23:00);< NAMA KORBAN >;< NOMOR CONTAINER >;RTG 12 menabrak HT external B 9178 TX dengan kontainer TEMU 7978630 di blok G1 – G2. Hal itu menyebabkan Motor Gantry Guard RTG 12 rusak dan kontainer TEMU 7978630 robek 30 cm.
04/02/19;4;February;2019;7;Monday;Safety;Near Miss;HT Internal;< NOMOR ALAT >;Dermaga;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;HT Graha Segara B 9404 menghantam HT internal 196/151 di dermaga VII. Hal itu menyebabkan safety tank guard HT Graha Segara rusak dan bumper internal HT rusak.
04/02/19;4;February;2019;8;Monday;Safety;Near Miss;HT External;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;HT eksternal B 9424 WF menabrak FD 03 di blok O1. O2. Hal ini menyebabkan kabin depan HT eksternal B 9424 WF rusak.
